147, 1
595, 2
35, 0
387, 3
555, 4
227, 5
915, 6
667, 7
707, 9
675, 8
347, 11
835, 10
395, 12
427, 15
355, 14
867, 17
907, 19
587, 13
635, 20
475, 18
547, 21
787, 23
155, 24
627, 25
515, 26
275, 28
195, 22
67, 27
107, 29
435, 30
747, 31
715, 16
987, 33
995, 32
955, 34
315, 36
267, 37
75, 38
307, 39
235, 40
947, 41
795, 42
187, 43
755, 44
115, 46
875, 48
507, 49
27, 45
467, 47
827, 35
147, 51
595, 52
35, 50
387, 53
555, 54
227, 55
915, 56
675, 58
667, 57
835, 60
347, 61
395, 62
587, 63
427, 65
475, 68
355, 64
715, 66
867, 67
907, 69
635, 70
195, 72
707, 59
787, 73
155, 74
627, 75
515, 76
275, 78
107, 79
67, 77
435, 80
747, 81
995, 82
987, 83
955, 84
827, 85
315, 86
547, 71
267, 87
75, 88
307, 89
235, 90
187, 93
947, 91
795, 92
755, 94
115, 96
467, 97
875, 98
27, 95
35, 100
507, 99
147, 101
595, 102
387, 103
227, 105
915, 106
555, 104
667, 107
707, 109
675, 108
347, 111
395, 112
587, 113
427, 115
715, 116
355, 114
475, 118
835, 110
635, 120
867, 117
547, 121
195, 122
155, 124
787, 123
515, 126
907, 119
627, 125
275, 128
67, 127
435, 130
747, 131
107, 129
995, 132
987, 133
955, 134
827, 135
267, 137
75, 138
315, 136
307, 139
235, 140
947, 141
187, 143
795, 142
755, 144
27, 145
875, 148
115, 146
507, 149
467, 147
35, 150
387, 153
147, 151
595, 152
555, 154
915, 156
227, 155
667, 157
707, 159
675, 158
835, 160
347, 161
395, 162
587, 163
355, 164
427, 165
475, 168
867, 167
907, 169
715, 166
635, 170
547, 171
787, 173
195, 172
155, 174
515, 176
67, 177
275, 178
627, 175
435, 180
995, 182
107, 179
987, 183
747, 181
955, 184
315, 186
75, 188
267, 187
827, 185
235, 190
307, 189
947, 191
187, 193
795, 192
755, 194
115, 196
27, 195
467, 197
507, 199
875, 198
147, 201
35, 200
595, 202
915, 206
555, 204
387, 203
227, 205
667, 207
707, 209
675, 208
347, 211
835, 210
395, 212
587, 213
355, 214
427, 215
715, 216
475, 218
635, 220
867, 217
